Familiarity Values from the MRC Psycholinguistic Database
Letters,Familiarity,Words
5,555,APART
5,555,APART
9,491,APARTMENT
6,472,APATHY
3,547,APE
3,547,APE
3,547,APE
8,356,APERTURE
4,321,APEX
7,510,APOLOGY
7,510,APOLOGY
8,531,APPARENT
8,531,APPARENT
8,531,APPARENT
6,514,APPEAL
6,514,APPEAL
6,534,APPEAR
6,534,APPEAR
10,578,APPEARANCE
8,493,APPENDIX
8,493,APPENDIX
5,598,APPLE
5,598,APPLE
9,493,APPLIANCE
11,541,APPOINTMENT
8,459,APPRAISE
10,552,APPRECIATE
8,508,APPROACH
8,508,APPROACH
8,526,APPROVAL
7,428,APRICOT
5,516,APRON
5,516,APRON
3,428,APT
3,428,APT
8,505,APTITUDE
7,238,ARBITER
9,427,ARBITRARY
9,427,ARBITRARY
5,289,ARBOR
5,289,ARBOR
3,397,ARC
4,483,ARCH
4,483,ARCH
4,483,ARCH
7,351,ARCHERY
7,351,ARCHERY
6,364,ARDENT
3,564,ARE
3,564,ARE
4,560,AREA
5,564,ARGUE
4,418,ARID
5,409,ARISE
5,409,ARISE
11,401,ARISTOCRACY
3,417,ARK
3,417,ARK
3,608,ARM
3,608,ARM
9,181,ARMADILLO
5,376,ARMOR
6,406,ARMOUR
6,406,ARMOUR
6,406,ARMOUR
4,555,ARMY
8,307,AROMATIC
8,307,AROMATIC
11,525,ARRANGEMENT
5,383,ARRAY
5,383,ARRAY
7,548,ARRIVAL
8,407,ARROGANT
8,407,ARROGANT
5,490,ARROW
5,490,ARROW
3,529,ART
3,529,ART
7,533,ARTICLE
7,533,ARTICLE
8,252,ARTIFICE
10,514,ARTIFICIAL
10,514,ARTIFICIAL
6,547,ARTIST
6,547,ARTIST
8,468,ARTISTIC
2,586,AS
2,586,AS
2,586,AS
2,586,AS
8,427,ASBESTOS
3,494,ASH
3,494,ASH
7,516,ASHAMED
7,516,ASHAMED
5,274,ASHEN
9,534,ASPARAGUS
6,482,ASPECT
6,482,ASPECT
7,488,ASPHALT
7,488,ASPHALT
7,488,ASPHALT
7,546,ASPIRIN
7,470,ASSAULT
7,470,ASSAULT
7,470,ASSAULT
7,470,ASSAULT
10,286,ASSEMBLAGE
8,482,ASSEMBLE
8,482,ASSEMBLE
6,325,ASSENT
6,325,ASSENT
6,325,ASSENT
6,516,ASSIST
10,534,ASSISTANCE
10,534,ASSISTANCE
10,492,ASSORTMENT
10,521,ASSUMPTION
5,205,ASTER
9,126,ASTROLABE
9,391,ASTRONOMY
6,335,ASTUTE
9,281,ASYMPTOTE
9,281,ASYMPTOTE
2,615,AT
2,615,AT
2,615,AT
2,615,AT
3,562,ATE
7,482,ATHLETE
9,548,ATHLETICS
10,540,ATMOSPHERE
10,540,ATMOSPHERE
4,513,ATOM
4,513,ATOM
8,371,ATROCITY
6,542,ATTACK
6,542,ATTACK
7,558,ATTEMPT
7,558,ATTEMPT
6,545,ATTEND
9,494,ATTENDANT
9,494,ATTENDANT
9,479,ATTENTIVE
8,553,ATTITUDE
9,421,ATTRIBUTE
9,421,ATTRIBUTE
9,421,ATTRIBUTE
8,511,AUDIENCE
5,326,AUDIT
5,326,AUDIT
8,479,AUDITION
8,479,AUDITION
10,519,AUDITORIUM
4,554,AUNT
5,192,AURAL
6,254,AURORA
9,477,AUTHENTIC
9,477,AUTHENTIC
6,554,AUTHOR
6,554,AUTHOR
6,554,AUTHOR
13,443,AUTHORITATIVE
10,456,AUTOMOBILE
10,456,AUTOMOBILE
10,456,AUTOMOBILE
6,533,AUTUMN
6,533,AUTUMN
9,566,AVAILABLE
9,399,AVALANCHE
9,399,AVALANCHE
6,529,AVENUE
6,529,AVENUE
7,579,AVERAGE
7,579,AVERAGE
7,579,AVERAGE
7,272,AVIATOR
4,354,AVID
6,215,AVOWAL
5,456,AWAIT
5,456,AWAIT
5,546,AWARE
5,546,AWARE
4,573,AWAY
4,573,AWAY
6,167,AWEIGH
7,502,AWKWARD
7,502,AWKWARD
3,257,AWL
3,461,AXE
3,461,AXE
4,323,AXIL
5,318,AXIOM
4,482,AXLE
3,333,AYE
3,333,AYE
3,333,AYE
3,333,AYE
4,370,BABE
4,597,BABY
4,597,BABY
4,587,BACK
4,587,BACK
4,587,BACK
4,587,BACK
4,587,BACK
10,540,BACKGROUND
10,540,BACKGROUND
8,460,BACTERIA
3,592,BAD
3,592,BAD
5,473,BADGE
5,473,BADGE
3,634,BAG
3,634,BAG
7,397,BAGPIPE
7,397,BAGPIPE
4,485,BAIL
4,485,BAIL
4,549,BAKE
4,549,BAKE
7,545,BALANCE
7,545,BALANCE
4,386,BALE
4,386,BALE
4,386,BALE
4,575,BALL
4,575,BALL
4,575,BALL
7,520,BALLOON
7,520,BALLOON
6,453,BALLOT
6,453,BALLOT
8,175,BANALITY
6,576,BANANA
6,576,BANANA
4,555,BAND
4,555,BAND
7,546,BANDAGE
7,546,BANDAGE
6,388,BANDIT
6,388,BANDIT
4,503,BANG
4,503,BANG
4,503,BANG
4,503,BANG
4,573,BANK
4,573,BANK
6,524,BANKER
6,381,BANNER
6,381,BANNER
3,592,BAR
3,592,BAR
3,592,BAR
4,302,BARB
4,302,BARB
4,302,BARB
4,224,BARD
4,224,BARD
4,521,BARE
4,521,BARE
4,521,BARE
4,521,BARE
7,552,BARGAIN
7,552,BARGAIN
4,518,BARK
4,518,BARK
4,466,BARN
4,466,BARN
8,277,BARNACLE
8,277,BARNACLE
5,339,BARON
6,487,BARREL
6,487,BARREL
4,520,BASE
4,520,BASE
4,520,BASE
8,522,BASEMENT
8,522,BASEMENT
7,435,BASHFUL
5,533,BASIC
8,79,BASILISK
8,79,BASILISK
5,504,BASIN
6,485,BASKET
6,485,BASKET
4,540,BASS
4,540,BASS
4,540,BASS
4,540,BASS
3,514,BAT
3,514,BAT
4,599,BATH
4,599,BATH
4,599,BATH
5,424,BATON
5,424,BATON
6,537,BATTLE
6,537,BATTLE
6,537,BATTLE
4,429,BAWL
4,429,BAWL
3,474,BAY
3,474,BAY
3,474,BAY
7,293,BAYONET
7,293,BAYONET
2,613,BE
5,553,BEACH
5,553,BEACH
5,553,BEACH
4,476,BEAK
4,476,BEAK
4,476,BEAM
4,476,BEAM
4,549,BEAN
4,526,BEAR
4,526,BEAR
5,538,BEARD
5,538,BEARD
5,456,BEAST
5,456,BEAST
4,536,BEAT
4,536,BEAT
4,536,BEAT
4,536,BEAT
4,242,BEAU
4,242,BEAU
4,242,BEAU
9,609,BEAUTIFUL
9,609,BEAUTIFUL
6,561,BEAUTY
6,561,BEAUTY
6,561,BEAUTY
6,470,BEAVER
6,470,BEAVER
6,470,BEAVER
6,531,BECAME
7,604,BECAUSE
7,604,BECAUSE
6,603,BECOME
6,603,BECOME
3,636,BED
3,636,BED
5,118,BEDEL
7,646,BEDROOM
3,554,BEE
5,374,BEECH
5,374,BEECH
4,598,BEEF
4,598,BEEF
7,398,BEEHIVE
4,567,BEEN
4,567,BEEN
4,567,BEEN
4,604,BEER
4,497,BEET
4,497,BEET
6,503,BEETLE
6,503,BEETLE
6,503,BEETLE
6,583,BEFORE
6,583,BEFORE
6,583,BEFORE
6,583,BEFORE
6,583,BEFORE
6,583,BEFORE
3,529,BEG
3,529,BEG
5,593,BEGAN
6,435,BEGGAR
6,435,BEGGAR
9,593,BEGINNING
9,593,BEGINNING
9,593,BEGINNING
9,573,BEHAVIOUR
6,603,BEHIND
6,603,BEHIND
6,603,BEHIND
5,568,BEING
5,568,BEING
5,568,BEING
6,211,BELFRY
6,554,BELIEF
4,543,BELL
4,543,BELL
5,341,BELLE
5,341,BELLE
11,320,BELLIGERENT
11,320,BELLIGERENT
5,486,BELLY
5,486,BELLY
7,406,BELOVED
7,406,BELOVED
7,406,BELOVED
5,566,BELOW
5,566,BELOW
4,550,BELT
4,550,BELT
5,488,BENCH
5,488,BENCH
4,510,BEND
4,510,BEND
10,356,BENEFACTOR
10,496,BENEFICIAL
7,481,BENEFIT
7,481,BENEFIT
7,318,BENZENE
7,316,BEQUEST
7,316,BEQUEST
11,249,BEREAVEMENT
5,419,BERET
5,470,BERRY
5,470,BERRY
5,379,BERTH
5,379,BERTH
8,255,BESIEGER
4,600,BEST
4,600,BEST
4,600,BEST
4,600,BEST
4,600,BEST
3,527,BET
3,527,BET
3,527,BET
3,527,BET
3,527,BET
3,527,BET
5,129,BETEL
8,392,BETRAYAL
6,633,BETTER
6,633,BETTER
6,633,BETTER
6,633,BETTER
10,293,BETTERMENT
8,566,BEVERAGE
12,421,BEWILDERMENT
5,116,BHANG
4,399,BIAS
4,399,BIAS
4,399,BIAS
4,399,BIAS
3,380,BIB
3,380,BIB
5,496,BIBLE
3,473,BID
3,473,BID
3,473,BID
4,162,BIER
3,640,BIG
3,640,BIG
3,640,BIG
7,154,BILIOUS
4,552,BILL
4,552,BILL
6,497,BILLED
6,497,BILLED
6,497,BILLED
3,580,BIN
3,580,BIN
3,580,BIN
7,526,BIOLOGY
5,518,BIRCH
5,518,BIRCH
4,592,BIRD
4,592,BIRD
5,527,BIRTH
5,527,BIRTH
7,521,BISCUIT
6,467,BISHOP
6,467,BISHOP
5,298,BISON
3,460,BIT
3,460,BIT
3,460,BIT
3,460,BIT
4,593,BITE
4,593,BITE
6,526,BITTER
6,526,BITTER
6,526,BITTER
6,526,BITTER
10,430,BITTERNESS
7,154,BIVOUAC
7,154,BIVOUAC
5,603,BLACK
5,603,BLACK
5,603,BLACK
10,407,BLACKSMITH
5,517,BLADE
5,517,BLADE
5,541,BLAME
5,541,BLAME
5,436,BLAND
5,436,BLAND
7,563,BLANKET
7,563,BLANKET
9,327,BLASPHEMY
6,549,BLEACH
6,549,BLEACH
6,549,BLEACH
5,466,BLEAK
5,466,BLEAK
5,466,BLEAK
8,483,BLESSING
8,483,BLESSING
8,483,BLESSING
4,533,BLEW
5,531,BLIND
5,531,BLIND
5,531,BLIND
5,450,BLINK
5,450,BLINK
5,450,BLINK
7,462,BLISTER
7,462,BLISTER
5,544,BLOCK
5,544,BLOCK
5,544,BLOCK
6,563,BLONDE
6,563,BLONDE
5,571,BLOOD
5,571,BLOOD
5,571,BLOOD
5,426,BLOOM
5,426,BLOOM
7,507,BLOSSOM
7,507,BLOSSOM
6,562,BLOUSE
4,528,BLOW
4,528,BLOW
4,593,BLUE
4,593,BLUE
4,593,BLUE
8,416,BLUEBELL
7,475,BLUNDER
7,475,BLUNDER
11,221,BLUNDERBUSS
11,221,BLUNDERBUSS
5,434,BLUNT
5,434,BLUNT
5,434,BLUNT
5,535,BLUSH
5,535,BLUSH
5,535,BLUSH
4,455,BOAR
4,455,BOAR
5,546,BOARD
5,546,BOARD
5,491,BOAST
5,491,BOAST
4,584,BOAT
4,584,BOAT
7,519,BOATING
7,519,BOATING
7,519,BOATING
7,519,BOATING
9,230,BOATSWAIN
4,610,BODY
4,610,BODY
4,533,BOIL
4,533,BOIL
10,368,BOISTEROUS
4,114,BOLE
4,210,BOLL
4,466,BOLT
4,466,BOLT
4,466,BOLT
4,566,BOMB
4,566,BOMB
4,454,BOND
4,454,BOND
4,454,BOND
4,541,BONE
4,541,BONE
4,541,BONE
5,539,BONUS
5,539,BONUS
4,643,BOOK
4,643,BOOK
4,566,BOOT
4,566,BOOT
5,444,BOOTH
6,489,BORDER
6,489,BORDER
6,489,BORDER
4,543,BORE
4,543,BORE
4,543,BORE
4,543,BORE
7,527,BOREDOM
6,590,BORING
6,590,BORING
6,590,BORING
4,566,BORN
4,566,BORN
4,566,BORN
4,566,BORN
5,380,BORNE
5,380,BORNE
5,380,BORNE
5,380,BORNE
5,380,BORNE
5,425,BOSOM
5,425,BOSOM
5,425,BOSOM
4,574,BOSS
4,574,BOSS
4,574,BOSS
6,459,BOTANY
4,598,BOTH
4,598,BOTH
4,598,BOTH
4,598,BOTH
4,598,BOTH
6,583,BOTHER
6,583,BOTHER
6,591,BOTTLE
6,591,BOTTLE
6,591,BOTTLE
6,587,BOTTOM
6,587,BOTTOM
7,495,BOULDER
7,495,BOULDER
8,481,BOUNDARY
7,473,BOUQUET
7,531,BOURBON
7,531,BOURBON
3,489,BOW
3,489,BOW
3,489,BOW
3,489,BOW
4,557,BOWL
4,557,BOWL
3,599,BOX
3,599,BOX
3,599,BOX
3,606,BOY
3,606,BOY
3,575,BRA
8,547,BRACELET
5,580,BRAIN
5,580,BRAIN
5,551,BRAKE
5,551,BRAKE
5,551,BRAKE
5,551,BRAKE
7,295,BRAMBLE
6,529,BRANCH
6,529,BRANCH
6,542,BRANDY
5,469,BRASS
5,469,BRASS
9,503,BRASSIERE
4,507,BRAT
5,544,BRAVE
5,544,BRAVE
5,544,BRAVE
5,544,BRAVE
7,466,BRAVERY
5,418,BRAWL
5,418,BRAWL
5,611,BREAD
5,611,BREAD
5,611,BREAD
5,529,BREAK
5,529,BREAK
9,657,BREAKFAST
9,657,BREAKFAST
6,555,BREAST
6,555,BREAST
6,572,BREATH
6,572,BREATH
4,423,BRED
4,423,BRED
4,423,BRED
4,423,BRED
6,511,BREEZE
6,511,BREEZE
5,531,BRIBE
5,531,BRIBE
5,529,BRICK
5,529,BRICK
5,529,BRICK
6,561,BRIDGE
6,561,BRIDGE
5,523,BRIEF
5,523,BRIEF
5,523,BRIEF
7,270,BRIGAND
7,270,BRIGAND
6,589,BRIGHT
6,589,BRIGHT
6,589,BRIGHT
6,589,BRIGHT
9,493,BRILLIANT
9,493,BRILLIANT
9,493,BRILLIANT
4,430,BRIM
4,430,BRIM
7,364,BRISKET
7,461,BRISTLE
7,461,BRISTLE
5,523,BROAD
5,523,BROAD
5,523,BROAD
7,298,BROCADE
7,298,BROCADE
7,298,BROCADE
5,502,BROIL
5,502,BROIL
5,502,BROIL
5,528,BROKE
5,528,BROKE
5,528,BROKE
6,576,BROKEN
6,576,BROKEN
6,576,BROKEN
6,398,BRONZE
6,398,BRONZE
6,398,BRONZE
5,384,BROOK
5,384,BROOK
5,547,BROOM
5,547,BROOM
5,547,BROOM
7,598,BROTHER
7,598,BROTHER
7,386,BROWNIE
5,579,BRUSH
5,579,BRUSH
5,579,BRUSH
4,343,BRUT
4,343,BRUT
6,446,BRUTAL
9,454,BRUTALITY
5,430,BRUTE
5,430,BRUTE
5,79,BUBAL
6,508,BUBBLE
6,508,BUBBLE
6,506,BUCKET
6,506,BUCKET
6,474,BUCKLE
6,474,BUCKLE
3,465,BUD
3,465,BUD
6,517,BUDGET
6,517,BUDGET
6,402,BUFFER
6,402,BUFFER
7,262,BUFFOON
7,262,BUFFOON
7,262,BUFFOON
5,554,BUILD
5,554,BUILD
7,554,BUILDER
8,607,BUILDING
8,607,BUILDING
8,607,BUILDING
5,471,BULKY
7,370,BULLDOG
6,517,BULLET
6,517,BULLET
4,541,BUMP
4,541,BUMP
4,541,BUMP
5,503,BUNCH
5,503,BUNCH
8,421,BUNGALOW
5,471,BUNNY
7,321,BUOYANT
6,446,BURDEN
6,446,BURDEN
6,395,BUREAU
7,133,BURGHER
7,133,BURGHER
6,400,BURIAL
6,412,BURLAP
4,548,BURN
4,548,BURN
4,548,BURN
6,518,BURNER
5,475,BURRO
6,421,BURROW
6,421,BURROW
4,479,BURY
4,479,BURY
4,532,BUSH
4,532,BUSH
8,563,BUSINESS
8,563,BUSINESS
4,600,BUSY
4,600,BUSY
4,600,BUSY
8,393,BUSYBODY
3,603,BUT
3,603,BUT
3,603,BUT
3,603,BUT
3,603,BUT
3,603,BUT
3,603,BUT
7,473,BUTCHER
7,473,BUTCHER
7,473,BUTCHER
6,425,BUTLER
6,615,BUTTER
6,615,BUTTER
9,481,BUTTERFLY
9,481,BUTTERFLY
6,573,BUTTON
6,573,BUTTON
5,147,BUTYL
5,147,BUTYL
3,575,BUY
3,575,BUY
5,487,BUYER
2,598,BY
2,598,BY
2,598,BY
2,598,BY
2,598,BY
4,151,BYRE
7,504,CABBAGE
7,504,CABBAGE
5,523,CABIN
5,523,CABIN
7,472,CABINET
7,472,CABINET
7,472,CABINET
5,492,CABLE
5,492,CABLE
5,259,CACHE
5,259,CACHE
6,400,CACTUS
4,531,CAFE
4,487,CAGE
4,487,CAGE
4,594,CAKE
4,594,CAKE
8,364,CALCULUS
4,511,CALF
5,124,CALIX
4,599,CALL
4,599,CALL
4,599,CALL
4,547,CALM
4,547,CALM
4,547,CALM
8,452,CALMNESS
4,563,CAME
4,563,CAME
5,421,CAMEL
6,550,CAMERA
10,341,CAMOUFLAGE
10,341,CAMOUFLAGE
4,541,CAMP
4,541,CAMP
4,541,CAMP
3,620,CAN
3,620,CAN
3,620,CAN
3,620,CAN
6,638,CANADA
6,638,CANADA
5,464,CANAL
5,464,CANAL
6,411,CANARY
6,411,CANARY
6,411,CANARY
6,556,CANCER
6,556,CANCER
6,374,CANDID
9,488,CANDIDATE
6,544,CANDLE
11,439,CANDLELIGHT
5,559,CANDY
5,559,CANDY
4,442,CANE
4,442,CANE
6,498,CANNON
6,498,CANNON
6,498,CANNON
5,441,CANOE
5,441,CANOE
5,424,CANON
5,424,CANON
7,490,CANTEEN
3,429,CAP
3,429,CAP
7,554,CAPABLE
8,512,CAPACITY
8,512,CAPACITY
4,521,CAPE
4,521,CAPE
7,538,CAPITAL
7,538,CAPITAL
7,529,CAPITOL
10,311,CAPITULATE
10,311,CAPITULATE
7,505,CAPSULE
7,505,CAPSULE
7,498,CAPTAIN
7,498,CAPTAIN
7,498,CAPTAIN
7,415,CAPTIVE
7,415,CAPTIVE
7,415,CAPTIVE
3,634,CAR
5,383,CARAT
5,383,CARAT
7,304,CARAVAN
12,461,CARBOHYDRATE
6,470,CARBON
4,543,CARD
4,543,CARD
8,451,CARDINAL
8,451,CARDINAL
4,563,CARE
4,563,CARE
6,589,CAREER
6,589,CAREER
8,484,CAREFREE
7,605,CAREFUL
8,508,CARELESS
8,508,CARELESS
5,401,CARGO
7,298,CARNAGE
9,490,CARNATION
9,490,CARNATION
5,489,CAROL
5,489,CAROL
4,439,CARP
4,439,CARP
6,508,CARPET
6,508,CARPET
8,436,CARRIAGE
6,539,CARROT
6,539,CARROT
5,554,CARRY
5,554,CARRY
4,454,CART
4,454,CART
9,396,CARTILAGE
4,553,CASE
4,553,CASE
8,231,CASEMENT
4,592,CASH
4,592,CASH
6,466,CASKET
6,466,CASKET
6,265,CASQUE
4,495,CAST
4,495,CAST
4,495,CAST
4,495,CAST
5,421,CASTE
6,415,CASTLE
6,415,CASTLE
6,365,CASTOR
8,503,CASUALTY
3,582,CAT
3,582,CAT
11,428,CATASTROPHE
11,457,CATERPILLAR
7,416,CATFISH
9,440,CATHEDRAL
9,440,CATHEDRAL
6,511,CATTLE
6,511,CATTLE
6,511,CATTLE
6,320,CAUCUS
6,320,CAUCUS
6,550,CAUGHT
6,550,CAUGHT
6,550,CAUGHT
4,87,CAUL
4,87,CAUL
11,462,CAULIFLOWER
11,462,CAULIFLOWER
11,462,CAULIFLOWER
9,347,CAUSALITY
5,557,CAUSE
5,557,CAUSE
5,557,CAUSE
7,307,CAUSTIC
7,307,CAUSTIC
8,515,CAUTIOUS
4,526,CAVE
4,526,CAVE
4,526,CAVE
4,526,CAVE
6,400,CAVERN
6,400,CAVERN
5,381,CEDAR
4,193,CEDE
7,531,CEILING
7,531,CEILING
4,520,CELL
4,520,CELL
4,520,CELL
6,467,CELLAR
6,467,CELLAR
6,467,CELLAR
5,295,CELLO
6,516,CEMENT
6,516,CEMENT
4,473,CENT
10,468,CENTENNIAL
10,468,CENTENNIAL
6,540,CENTER
6,540,CENTER
7,514,CENTURY
6,543,CEREAL
6,543,CEREAL
8,381,CEREBRUM
8,501,CEREMONY
8,501,CEREMONY
11,488,CERTIFICATE
11,488,CERTIFICATE
11,488,CERTIFICATE
11,488,CERTIFICATE
5,513,CHAIN
5,513,CHAIN
5,513,CHAIN
5,617,CHAIR
5,617,CHAIR
5,560,CHALK
5,560,CHALK
5,560,CHALK
9,515,CHALLENGE
9,515,CHALLENGE
9,515,CHALLENGE
7,276,CHAMOIS
7,276,CHAMOIS
7,276,CHAMOIS
8,507,CHAMPION
8,507,CHAMPION
8,507,CHAMPION
8,507,CHAMPION
6,563,CHANCE
6,563,CHANCE
6,563,CHANCE
6,563,CHANCE
7,482,CHANNEL
7,482,CHANNEL
5,450,CHAOS
7,439,CHAOTIC
6,471,CHAPEL
6,471,CHAPEL
9,551,CHARACTER
9,551,CHARACTER
9,551,CHARACTER
7,518,CHARITY
9,201,CHARLATAN
9,201,CHARLATAN
5,514,CHARM
5,514,CHARM
8,514,CHARMING
8,514,CHARMING
8,514,CHARMING
5,533,CHART
5,533,CHART
7,402,CHARTER
7,402,CHARTER
5,270,CHASM
7,327,CHASSIS
10,439,CHATTERBOX
5,549,CHEAT
5,549,CHEAT
5,533,CHEEK
5,533,CHEEK
7,479,CHEERED
7,479,CHEERED
7,479,CHEERED
7,479,CHEERED
8,537,CHEERFUL
6,417,CHEERY
6,588,CHEESE
6,588,CHEESE
9,533,CHEMISTRY
6,514,CHERRY
6,514,CHERRY
6,514,CHERRY
5,543,CHEST
5,543,CHEST
8,523,CHESTNUT
8,523,CHESTNUT
